run, generation, best_fitness, average_fitness, worst_fitness
0, 0, 2214, 1805, 1585
0, 1, 2234, 1941, 1772
0, 2, 2234, 2030, 1935
0, 3, 2234, 2101, 1992
0, 4, 2296, 2164, 2083
0, 5, 2313, 2216, 2185
0, 6, 2319, 2241, 2209
0, 7, 2390, 2274, 2234
0, 8, 2393, 2307, 2265
0, 9, 2397, 2336, 2304
0, 10, 2450, 2360, 2331
